timestamp,method,seed,max_id,low_res,gallery_size,probes,rank1,auc
2025-10-22T21:26:01.753357,bicubic_probe,123,50,24,50,135,0.933333,0.996895
2025-10-22T21:29:24.713037,downsample_gallery,123,50,24,48,131,0.908397,0.995617
2025-10-22T21:38:07.022495,sr_probe,123,50,24,50,135,0.933333,0.996895
2025-10-22T22:32:00.935901,downsample_gallery,123,200,24,183,567,0.809524,0.991335
2025-10-22T22:38:59.142103,sr_probe,123,200,24,193,581,0.857143,0.996647
2025-10-23T13:31:06.920087,bicubic_probe,123,200,24,193,584,0.847603,0.996336
2025-10-23T13:50:41.944615,naive,123,200,24,193,451,0.609756,0.984001
2025-10-23T13:57:58.653670,bicubic_probe,123,200,24,193,584,0.847603,0.996336
2025-10-23T16:16:10.692722,bicubic_probe,123,50,24,50,135,0.933333,0.996895
2025-10-23T16:17:28.665317,naive,123,50,24,50,108,0.750000,0.984570
2025-10-23T17:12:26.117180,naive,123,50,24,50,108,0.750000,0.984570
